,candidate,county,fips,fraction_votes,party,state,state_abbreviation,votes
0,Bernie Sanders,Autauga,1001.0,0.182,Democrat,Alabama,AL,544.0
1,Hillary Clinton,Autauga,1001.0,0.8,Democrat,Alabama,AL,2387.0
2,Bernie Sanders,Baldwin,1003.0,0.329,Democrat,Alabama,AL,2694.0
3,Hillary Clinton,Baldwin,1003.0,0.647,Democrat,Alabama,AL,5290.0
4,Bernie Sanders,Barbour,1005.0,0.078,Democrat,Alabama,AL,222.0
5,Hillary Clinton,Barbour,1005.0,0.906,Democrat,Alabama,AL,2567.0
6,Bernie Sanders,Bibb,1007.0,0.197,Democrat,Alabama,AL,246.0
7,Hillary Clinton,Bibb,1007.0,0.755,Democrat,Alabama,AL,942.0
8,Bernie Sanders,Blount,1009.0,0.386,Democrat,Alabama,AL,395.0
9,Hillary Clinton,Blount,1009.0,0.551,Democrat,Alabama,AL,564.0
10,Bernie Sanders,Bullock,1011.0,0.066,Democrat,Alabama,AL,178.0
11,Hillary Clinton,Bullock,1011.0,0.913,Democrat,Alabama,AL,2451.0
12,Bernie Sanders,Butler,1013.0,0.065,Democrat,Alabama,AL,156.0
13,Hillary Clinton,Butler,1013.0,0.921,Democrat,Alabama,AL,2196.0
14,Bernie Sanders,Calhoun,1015.0,0.218,Democrat,Alabama,AL,1425.0
15,Hillary Clinton,Calhoun,1015.0,0.765,Democrat,Alabama,AL,5011.0
16,Bernie Sanders,Chambers,1017.0,0.095,Democrat,Alabama,AL,312.0
17,Hillary Clinton,Chambers,1017.0,0.8859999999999999,Democrat,Alabama,AL,2899.0
18,Bernie Sanders,Cherokee,1019.0,0.249,Democrat,Alabama,AL,268.0
19,Hillary Clinton,Cherokee,1019.0,0.6609999999999999,Democrat,Alabama,AL,712.0
20,Bernie Sanders,Chilton,1021.0,0.246,Democrat,Alabama,AL,289.0
21,Hillary Clinton,Chilton,1021.0,0.731,Democrat,Alabama,AL,860.0
22,Bernie Sanders,Choctaw,1023.0,0.124,Democrat,Alabama,AL,273.0
23,Hillary Clinton,Choctaw,1023.0,0.802,Democrat,Alabama,AL,1772.0
24,Bernie Sanders,Clarke,1025.0,0.063,Democrat,Alabama,AL,213.0
25,Hillary Clinton,Clarke,1025.0,0.93,Democrat,Alabama,AL,3148.0
26,Bernie Sanders,Clay,1027.0,0.13699999999999998,Democrat,Alabama,AL,135.0
27,Hillary Clinton,Clay,1027.0,0.818,Democrat,Alabama,AL,807.0
28,Bernie Sanders,Cleburne,1029.0,0.238,Democrat,Alabama,AL,72.0
29,Hillary Clinton,Cleburne,1029.0,0.732,Democrat,Alabama,AL,221.0
30,Bernie Sanders,Coffee,1031.0,0.201,Democrat,Alabama,AL,389.0
31,Hillary Clinton,Coffee,1031.0,0.772,Democrat,Alabama,AL,1493.0
32,Bernie Sanders,Colbert,1033.0,0.225,Democrat,Alabama,AL,1342.0
33,Hillary Clinton,Colbert,1033.0,0.65,Democrat,Alabama,AL,3879.0
34,Bernie Sanders,Conecuh,1035.0,0.191,Democrat,Alabama,AL,544.0
35,Hillary Clinton,Conecuh,1035.0,0.7140000000000001,Democrat,Alabama,AL,2031.0
36,Bernie Sanders,Coosa,1037.0,0.108,Democrat,Alabama,AL,125.0
37,Hillary Clinton,Coosa,1037.0,0.877,Democrat,Alabama,AL,1012.0
38,Bernie Sanders,Covington,1039.0,0.197,Democrat,Alabama,AL,188.0
39,Hillary Clinton,Covington,1039.0,0.773,Democrat,Alabama,AL,737.0
40,Bernie Sanders,Crenshaw,1041.0,0.103,Democrat,Alabama,AL,107.0
41,Hillary Clinton,Crenshaw,1041.0,0.878,Democrat,Alabama,AL,908.0
42,Bernie Sanders,Cullman,1043.0,0.345,Democrat,Alabama,AL,723.0
43,Hillary Clinton,Cullman,1043.0,0.608,Democrat,Alabama,AL,1275.0
44,Bernie Sanders,Dale,1045.0,0.207,Democrat,Alabama,AL,415.0
45,Hillary Clinton,Dale,1045.0,0.77,Democrat,Alabama,AL,1544.0
46,Bernie Sanders,Dallas,1047.0,0.154,Democrat,Alabama,AL,1774.0
47,Hillary Clinton,Dallas,1047.0,0.7440000000000001,Democrat,Alabama,AL,8577.0
48,Bernie Sanders,DeKalb,1049.0,0.32299999999999995,Democrat,Alabama,AL,667.0
49,Hillary Clinton,DeKalb,1049.0,0.629,Democrat,Alabama,AL,1297.0
50,Bernie Sanders,Elmore,1051.0,0.184,Democrat,Alabama,AL,694.0
51,Hillary Clinton,Elmore,1051.0,0.8009999999999999,Democrat,Alabama,AL,3019.0
52,Bernie Sanders,Escambia,1053.0,0.099,Democrat,Alabama,AL,226.0
53,Hillary Clinton,Escambia,1053.0,0.885,Democrat,Alabama,AL,2027.0
54,Bernie Sanders,Etowah,1055.0,0.226,Democrat,Alabama,AL,1289.0
55,Hillary Clinton,Etowah,1055.0,0.746,Democrat,Alabama,AL,4262.0
56,Bernie Sanders,Fayette,1057.0,0.172,Democrat,Alabama,AL,148.0
